"","Country","Date","Cum_conf_cases","Cum_susp_cases","Cum_conf_death"
"620","Senegal","2014-09-18",1,0,0
"621","Guinea","2014-09-16",743,31,429
"622","Liberia","2014-09-16",790,539,563
"623","Sierra Leone","2014-09-16",1464,119,514
"624","Nigeria","2014-09-16",19,1,7
"625","Senegal","2014-09-16",1,0,0
"626","Guinea","2014-09-12",678,32,403
"627","Liberia","2014-09-12",654,453,498
"628","Sierra Leone","2014-09-12",1287,100,478
"629","Nigeria","2014-09-12",19,1,7
"630","Senegal","2014-09-12",1,2,0
"631","Guinea","2014-09-08",664,47,400
"632","Liberia","2014-09-08",634,443,508
"633","Sierra Leone","2014-09-08",1234,90,461
"634","Nigeria","2014-09-08",19,1,7
"635","Senegal","2014-09-08",1,2,0
"636","Guinea","2014-09-05",604,56,362
"637","Liberia","2014-09-05",614,369,431
"638","Sierra Leone","2014-09-05",1146,78,443
"639","Nigeria","2014-09-05",18,3,7
"640","Senegal","2014-09-05",1,NA,0
"641","Guinea","2014-08-29",482,25,287
"642","Liberia","2014-08-29",322,382,225
"643","Sierra Leone","2014-08-29",935,54,380
"644","Nigeria","2014-08-29",15,3,6
"645","Sierra Leone","2015-03-11",8428,2904,3263
"646","Guinea","2015-03-11",2871,22,1778
"647","Liberia","2015-03-11",3150,4314,NA
"648","United Kingdom","2015-03-11",1,0,NA
"649","Mali","2015-03-11",7,0,NA
"650","Nigeria","2015-03-11",19,0,7
"651","Senegal","2015-03-11",1,0,0
"652","Spain","2015-03-11",1,0,0
"653","United States of America","2015-03-11",4,0,1
"654","Guinea","2015-03-12",2901,34,1792
"655","Liberia","2015-03-12",3150,4314,NA
"656","Sierra Leone","2015-03-12",8463,2927,3289
"657","United Kingdom","2015-03-12",1,0,NA
"658","Mali","2015-03-12",7,0,NA
"659","Nigeria","2015-03-12",19,0,7
"660","Senegal","2015-03-12",1,0,0
"661","Spain","2015-03-12",1,0,0
"662","United States of America","2015-03-12",4,0,1
"663","Guinea","2015-03-13",2911,25,1797
"664","Liberia","2015-03-13",3150,4453,NA
"665","Sierra Leone","2015-03-13",8469,2940,3297
"666","United Kingdom","2015-03-13",1,0,NA
"667","Mali","2015-03-13",7,0,NA
"668","Nigeria","2015-03-13",19,0,7
"669","Senegal","2015-03-13",1,0,0
"670","Spain","2015-03-13",1,0,0
"671","United States of America","2015-03-13",4,0,1
"672","Guinea","2015-03-16",2957,21,1821
"673","Liberia","2015-03-16",3150,4453,NA
"674","Sierra Leone","2015-03-16",8484,2971,3321
"675","United Kingdom","2015-03-16",1,0,NA
"676","Mali","2015-03-16",7,0,NA
"677","Nigeria","2015-03-16",19,0,7
"678","Senegal","2015-03-16",1,0,0
"679","Spain","2015-03-16",1,0,0
"680","United States of America","2015-03-16",4,0,1
"681","Guinea","2015-03-17",2966,28,1829
"682","Liberia","2015-03-17",3150,4497,NA
"683","Sierra Leone","2015-03-17",8487,2977,3325
"684","United Kingdom","2015-03-17",1,0,NA
"685","Mali","2015-03-17",7,0,NA
"686","Nigeria","2015-03-17",19,0,7
"687","Senegal","2015-03-17",1,0,0
"688","Spain","2015-03-17",1,0,0
"689","United States of America","2015-03-17",4,0,1
"690","Guinea","2015-03-18",2966,28,1829
"691","Liberia","2015-03-18",3150,4497,NA
"692","Sierra Leone","2015-03-18",8487,2977,3325
"693","United Kingdom","2015-03-18",1,0,NA
"694","Mali","2015-03-18",7,0,NA
"695","Nigeria","2015-03-18",19,0,7
"696","Senegal","2015-03-18",1,0,0
"697","Spain","2015-03-18",1,0,0
"698","United States of America","2015-03-18",4,0,1
"699","Guinea","2015-03-20",2988,21,1846
"700","Liberia","2015-03-20",3150,4526,NA
"701","Sierra Leone","2015-03-20",8508,2999,3346
"702","United Kingdom","2015-03-20",1,0,NA
"703","Mali","2015-03-20",7,0,NA
"704","Nigeria","2015-03-20",19,0,7
"705","Senegal","2015-03-20",1,0,0
"706","Spain","2015-03-20",1,0,0
"707","United States of America","2015-03-20",4,0,1
"708","Guinea","2015-03-23",3007,15,1863
"709","Liberia","2015-03-23",3151,4563,NA
"710","Sierra Leone","2015-03-23",8518,3024,3376
"711","United Kingdom","2015-03-23",1,0,NA
"712","Mali","2015-03-23",7,0,NA
"713","Nigeria","2015-03-23",19,0,7
"714","Senegal","2015-03-23",1,0,0
"715","Spain","2015-03-23",1,0,0
"716","United States of America","2015-03-23",4,0,1
"717","Guinea","2015-03-24",3011,20,1865
"718","Liberia","2015-03-24",3151,4572,NA
"719","Sierra Leone","2015-03-24",8520,3034,3381
"720","United Kingdom","2015-03-24",1,0,NA
"721","Mali","2015-03-24",7,0,NA
"722","Nigeria","2015-03-24",19,0,7
"723","Senegal","2015-03-24",1,0,0
"724","Spain","2015-03-24",1,0,0
"725","United States of America","2015-03-24",4,0,1
"726","Guinea","2015-03-25",3011,20,1865
"727","Sierra Leone","2015-03-25",8520,3034,3381
"728","Liberia","2015-03-25",3151,4572,NA
"729","United Kingdom","2015-03-25",1,0,NA
"730","Mali","2015-03-25",7,0,NA
"731","Nigeria","2015-03-25",19,0,7
"732","Senegal","2015-03-25",1,0,0
"733","Spain","2015-03-25",1,0,0
"734","United States of America","2015-03-25",4,0,1
"735","Liberia","2015-03-26",3151,4572,NA
"736","Guinea","2015-03-26",3032,29,1875
"737","Sierra Leone","2015-03-26",8529,3050,3398
"738","United Kingdom","2015-03-26",1,0,NA
"739","Mali","2015-03-26",7,0,NA
"740","Nigeria","2015-03-26",19,0,7
"741","Senegal","2015-03-26",1,0,0
"742","Spain","2015-03-26",1,0,0
"743","United States of America","2015-03-26",4,0,1
"744","Sierra Leone","2015-03-27",8532,3070,3407
"745","Liberia","2015-03-27",3151,4572,NA
"746","Guinea","2015-03-27",3042,26,1878
"747","United Kingdom","2015-03-27",1,0,NA
"748","Mali","2015-03-27",7,0,NA
"749","Nigeria","2015-03-27",19,0,7
"750","Senegal","2015-03-27",1,0,0
"751","Spain","2015-03-27",1,0,0
"752","United States of America","2015-03-27",4,0,1
"753","Guinea","2015-04-07",3089,12,1919
"754","Liberia","2015-04-07",3151,4832,NA
"755","Sierra Leone","2015-04-07",8555,3297,3466
"756","United Kingdom","2015-04-07",1,0,NA
"757","Mali","2015-04-07",7,0,NA
"758","Nigeria","2015-04-07",19,0,7
"759","Senegal","2015-04-07",1,0,0
"760","Spain","2015-04-07",1,0,0
"761","United States of America","2015-04-07",4,0,1
"762","Guinea","2015-04-09",3093,8,1921
"763","Liberia","2015-04-09",3151,4832,NA
"764","Sierra Leone","2015-04-09",8558,3310,3475
"765","United Kingdom","2015-04-09",1,0,NA
"766","Mali","2015-04-09",7,0,NA
"767","Nigeria","2015-04-09",19,0,7
"768","Senegal","2015-04-09",1,0,0
"769","Spain","2015-04-09",1,0,0
"770","United States of America","2015-04-09",4,0,1
"771","Guinea","2015-04-13",3112,15,1928
"772","Liberia","2015-04-13",3151,4832,NA
"773","Sierra Leone","2015-04-13",8560,3341,3488
"774","United Kingdom","2015-04-13",1,0,NA
"775","Mali","2015-04-13",7,0,NA
"776","Nigeria","2015-04-13",19,0,7
"777","Senegal","2015-04-13",1,0,0
"778","Spain","2015-04-13",1,0,0
"779","United States of America","2015-04-13",4,0,1
"780","Guinea","2015-04-14",3117,17,1932
"781","Liberia","2015-04-14",3151,4832,NA
"782","Sierra Leone","2015-04-14",8563,3351,3491
"783","United Kingdom","2015-04-14",1,0,NA
"784","Mali","2015-04-14",7,0,NA
"785","Nigeria","2015-04-14",19,0,7
"786","Senegal","2015-04-14",1,0,0
"787","Spain","2015-04-14",1,0,0
"788","United States of America","2015-04-14",4,0,1
"789","Guinea","2015-04-15",3117,17,1932
"790","Liberia","2015-04-15",3151,5012,NA
"791","Sierra Leone","2015-04-15",8563,3351,3491
"792","United Kingdom","2015-04-15",1,0,NA
"793","Mali","2015-04-15",7,0,NA
"794","Nigeria","2015-04-15",19,0,7
"795","Senegal","2015-04-15",1,0,0
"796","Spain","2015-04-15",1,0,0
"797","United States of America","2015-04-15",4,0,1
"798","Guinea","2015-04-16",3124,28,1934
"799","Liberia","2015-04-16",3151,5012,NA
"800","Sierra Leone","2015-04-16",8566,3370,3499
"801","United Kingdom","2015-04-16",1,0,NA
"802","Mali","2015-04-16",7,0,NA
"803","Nigeria","2015-04-16",19,0,7
"804","Senegal","2015-04-16",1,0,0
"805","Spain","2015-04-16",1,0,0
"806","United States of America","2015-04-16",4,0,1
"807","Guinea","2015-04-17",3126,29,1937
"808","Liberia","2015-04-17",3151,5012,NA
"809","Sierra Leone","2015-04-17",8569,3388,3499
"810","United Kingdom","2015-04-17",1,0,NA
"811","Mali","2015-04-17",7,0,NA
"812","Nigeria","2015-04-17",19,0,7
"813","Senegal","2015-04-17",1,0,0
"814","Spain","2015-04-17",1,0,0
"815","United States of America","2015-04-17",4,0,1
"816","Guinea","2015-04-20",3133,17,1942
"817","Liberia","2015-04-20",3151,5012,NA
"818","Sierra Leone","2015-04-20",8572,3397,3506
"819","United Kingdom","2015-04-20",1,0,NA
"820","Mali","2015-04-20",7,0,NA
"821","Nigeria","2015-04-20",19,0,7
"822","Senegal","2015-04-20",1,0,0
"823","Spain","2015-04-20",1,0,0
"824","United States of America","2015-04-20",4,0,1
"825","Guinea","2015-04-21",3136,14,1943
"826","Liberia","2015-04-21",3151,5012,NA
"827","Sierra Leone","2015-04-21",8573,3405,3511
"828","United Kingdom","2015-04-21",1,0,NA
"829","Mali","2015-04-21",7,0,NA
"830","Nigeria","2015-04-21",19,0,7
"831","Senegal","2015-04-21",1,0,0
"832","Spain","2015-04-21",1,0,0
"833","United States of America","2015-04-21",4,0,1
"834","Sierra Leone","2015-04-22",8575,3405,3511
"835","Guinea","2015-04-22",3136,14,1943
"836","Liberia","2015-04-22",3151,5182,NA
"837","United Kingdom","2015-04-22",1,0,NA
"838","Mali","2015-04-22",7,0,NA
"839","Nigeria","2015-04-22",19,0,7
"840","Senegal","2015-04-22",1,0,0
"841","Spain","2015-04-22",1,0,0
"842","United States of America","2015-04-22",4,0,1
"843","Guinea","2015-04-23",3144,9,1947
"844","Liberia","2015-04-23",3151,5182,NA
"845","Sierra Leone","2015-04-23",8581,3426,3519
"846","United Kingdom","2015-04-23",1,0,NA
"847","Mali","2015-04-23",7,0,NA
"848","Nigeria","2015-04-23",19,0,7
"849","Senegal","2015-04-23",1,0,0
"850","Spain","2015-04-23",1,0,0
"851","United States of America","2015-04-23",4,0,1
"852","Guinea","2015-04-24",3145,16,1950
"853","Liberia","2015-04-24",3151,5182,NA
"854","Sierra Leone","2015-04-24",8584,3442,3520
"855","United Kingdom","2015-04-24",1,0,NA
"856","Mali","2015-04-24",7,0,NA
"857","Nigeria","2015-04-24",19,0,7
"858","Senegal","2015-04-24",1,0,0
"859","Spain","2015-04-24",1,0,0
"860","United States of America","2015-04-24",4,0,1
"861","Guinea","2015-04-27",3154,16,1959
"862","Liberia","2015-04-27",3151,5182,NA
"863","Sierra Leone","2015-04-27",8585,3490,3529
"864","United Kingdom","2015-04-27",1,0,NA
"865","Mali","2015-04-27",7,0,NA
"866","Nigeria","2015-04-27",19,0,7
"867","Senegal","2015-04-27",1,0,0
"868","Spain","2015-04-27",1,0,0
"869","United States of America","2015-04-27",4,0,1
"870","Guinea","2015-04-28",3158,11,1962
"871","Liberia","2015-04-28",3151,5292,NA
"872","Sierra Leone","2015-04-28",8586,3498,3533
"873","United Kingdom","2015-04-28",1,0,NA
"874","Mali","2015-04-28",7,0,NA
"875","Nigeria","2015-04-28",19,0,7
"876","Senegal","2015-04-28",1,0,0
"877","Spain","2015-04-28",1,0,0
"878","United States of America","2015-04-28",4,0,1
"879","Guinea","2015-04-30",3159,7,1966
"880","Liberia","2015-04-30",3151,5292,NA
"881","Sierra Leone","2015-04-30",8588,3512,3535
"882","United Kingdom","2015-04-30",1,0,NA
"883","Mali","2015-04-30",7,0,NA
"884","Nigeria","2015-04-30",19,0,7
"885","Senegal","2015-04-30",1,0,0
"886","Spain","2015-04-30",1,0,0
"887","United States of America","2015-04-30",4,0,1
"888","Guinea","2015-05-01",3161,2,1968
"889","Liberia","2015-05-01",3151,5292,NA
"890","Sierra Leone","2015-05-01",8590,3521,3535
"891","United Kingdom","2015-05-01",1,0,NA
"892","Mali","2015-05-01",7,0,NA
"893","Nigeria","2015-05-01",19,0,7
"894","Senegal","2015-05-01",1,0,0
"895","Spain","2015-05-01",1,0,0
"896","United States of America","2015-05-01",4,0,1
"897","Guinea","2015-05-04",3163,13,1970
"898","Liberia","2015-05-04",3151,5292,NA
"899","Sierra Leone","2015-05-04",8592,3547,3536
"900","United Kingdom","2015-05-04",1,0,NA
"901","Mali","2015-05-04",7,0,NA
"902","Nigeria","2015-05-04",19,0,7
"903","Senegal","2015-05-04",1,0,0
"904","Spain","2015-05-04",1,0,0
"905","United States of America","2015-05-04",4,0,1
"906","Guinea","2015-05-05",3167,7,1971
"907","Liberia","2015-05-05",3151,5477,NA
"908","Sierra Leone","2015-05-05",8595,3558,3537
"909","United Kingdom","2015-05-05",1,0,NA
"910","Mali","2015-05-05",7,0,NA
"911","Nigeria","2015-05-05",19,0,7
"912","Senegal","2015-05-05",1,0,0
"913","Spain","2015-05-05",1,0,0
"914","United States of America","2015-05-05",4,0,1
"915","Guinea","2015-05-06",3167,7,1971
"916","Liberia","2015-05-06",3151,5534,NA
"917","Sierra Leone","2015-05-06",8595,3558,3537
"918","United Kingdom","2015-05-06",1,0,NA
"919","Mali","2015-05-06",7,0,NA
"920","Nigeria","2015-05-06",19,0,7
"921","Senegal","2015-05-06",1,0,0
"922","Spain","2015-05-06",1,0,0
"923","United States of America","2015-05-06",4,0,1
"924","Guinea","2015-05-07",3170,7,1972
"925","Liberia","2015-05-07",3151,5534,NA
"926","Sierra Leone","2015-05-07",8597,3586,3538
"927","United Kingdom","2015-05-07",1,0,NA
"928","Mali","2015-05-07",7,0,NA
"929","Nigeria","2015-05-07",19,0,7
"930","Senegal","2015-05-07",1,0,0
"931","Spain","2015-05-07",1,0,0
"932","United States of America","2015-05-07",4,0,1
"933","Guinea","2015-05-08",3170,7,1972
"934","Liberia","2015-05-08",3151,5534,NA
"935","Sierra Leone","2015-05-08",8597,3608,3538
"936","United Kingdom","2015-05-08",1,0,NA
"937","Mali","2015-05-08",7,0,NA
"938","Nigeria","2015-05-08",19,0,7
"939","Senegal","2015-05-08",1,0,0
"940","Spain","2015-05-08",1,0,0
"941","United States of America","2015-05-08",4,0,1
"942","Guinea","2015-05-11",3173,11,1976
"943","Liberia","2015-05-11",3151,5574,NA
"944","Sierra Leone","2015-05-11",8597,3635,3538
"945","United Kingdom","2015-05-11",1,0,NA
"946","Mali","2015-05-11",7,0,NA
"947","Nigeria","2015-05-11",19,0,7
"948","Senegal","2015-05-11",1,0,0
"949","Spain","2015-05-11",1,0,0
"950","United States of America","2015-05-11",4,0,1
"951","Guinea","2015-05-12",3174,8,1977
"952","Liberia","2015-05-12",3151,5574,NA
"953","Sierra Leone","2015-05-12",8597,3639,3538
"954","United Kingdom","2015-05-12",1,0,NA
"955","Mali","2015-05-12",7,0,NA
"956","Nigeria","2015-05-12",19,0,7
"957","Senegal","2015-05-12",1,0,0
"958","Spain","2015-05-12",1,0,0
"959","United States of America","2015-05-12",4,0,1
"960","Guinea","2015-05-13",3173,11,1976
"961","Liberia","2015-05-13",3151,5574,NA
"962","Sierra Leone","2015-05-13",8597,3635,3538
"963","United Kingdom","2015-05-13",1,0,NA
"964","Mali","2015-05-13",7,0,NA
"965","Nigeria","2015-05-13",19,0,7
"966","Senegal","2015-05-13",1,0,0
"967","Spain","2015-05-13",1,0,0
"968","United States of America","2015-05-13",4,0,1
"969","Guinea","2015-05-15",3189,11,1982
"970","Liberia","2015-05-15",3151,5574,NA
"971","Sierra Leone","2015-05-15",8598,3655,3538
"972","Italy","2015-05-15",1,0,0
"973","United Kingdom","2015-05-15",1,0,NA
"974","Mali","2015-05-15",7,0,NA
"975","Nigeria","2015-05-15",19,0,7
"976","Senegal","2015-05-15",1,0,0
"977","Spain","2015-05-15",1,0,0
"978","United States of America","2015-05-15",4,0,1
"979","Italy","2015-05-14",1,0,NA
"980","Guinea","2015-05-14",3187,9,1980
"981","Liberia","2015-05-14",3151,5574,NA
"982","Sierra Leone","2015-05-14",8597,3652,3538
"983","United Kingdom","2015-05-14",1,0,NA
"984","Mali","2015-05-14",7,0,NA
"985","Nigeria","2015-05-14",19,0,7
"986","Senegal","2015-05-14",1,0,0
"987","Spain","2015-05-14",1,0,0
"988","United States of America","2015-05-14",4,0,1
"989","Guinea","2015-05-19",3201,15,1988
"990","Liberia","2015-05-19",3151,5636,NA
"991","Sierra Leone","2015-05-19",8605,3740,3541
"992","Italy","2015-05-19",1,0,NA
"993","United Kingdom","2015-05-19",1,0,NA
"994","Mali","2015-05-19",7,0,NA
"995","Nigeria","2015-05-19",19,0,7
"996","Senegal","2015-05-19",1,0,0
"997","Spain","2015-05-19",1,0,0
"998","United States of America","2015-05-19",4,0,1
"999","Guinea","2015-05-18",3195,12,1986
"1000","Liberia","2015-05-18",3151,5636,NA
"1001","Sierra Leone","2015-05-18",8603,3703,3540
"1002","Italy","2015-05-18",1,0,NA
"1003","United Kingdom","2015-05-18",1,0,NA
"1004","Mali","2015-05-18",7,0,NA
"1005","Nigeria","2015-05-18",19,0,7
"1006","Senegal","2015-05-18",1,0,0
"1007","Spain","2015-05-18",1,0,0
"1008","United States of America","2015-05-18",4,0,1
"1009","Italy","2015-05-20",1,0,NA
"1010","Guinea","2015-05-20",3201,15,1988
"1011","Liberia","2015-05-20",3151,5636,NA
"1012","Sierra Leone","2015-05-20",8605,3740,3541
"1013","United Kingdom","2015-05-20",1,0,NA
"1014","Mali","2015-05-20",7,0,NA
"1015","Nigeria","2015-05-20",19,0,7
"1016","Senegal","2015-05-20",1,0,0
"1017","Spain","2015-05-20",1,0,0
"1018","United States of America","2015-05-20",4,0,1
"1019","Guinea","2015-05-21",3204,26,1990
"1020","Liberia","2015-05-21",3151,5636,NA
"1021","Sierra Leone","2015-05-21",8607,3762,3541
"1022","Italy","2015-05-21",1,0,NA
"1023","United Kingdom","2015-05-21",1,0,NA
"1024","Mali","2015-05-21",7,0,NA
"1025","Nigeria","2015-05-21",19,0,7
"1026","Senegal","2015-05-21",1,0,0
"1027","Spain","2015-05-21",1,0,0
"1028","United States of America","2015-05-21",4,0,1
"1029","Italy","2015-05-22",1,0,NA
"1030","Guinea","2015-05-22",3205,23,1993
"1031","Liberia","2015-05-22",3151,5636,NA
"1032","Sierra Leone","2015-05-22",8608,3771,3541
"1033","United Kingdom","2015-05-22",1,0,NA
"1034","Mali","2015-05-22",7,0,NA
"1035","Nigeria","2015-05-22",19,0,7
"1036","Senegal","2015-05-22",1,0,0
"1037","Spain","2015-05-22",1,0,0
"1038","United States of America","2015-05-22",4,0,1
"1039","Guinea","2015-05-26",3210,12,2001
"1040","Liberia","2015-05-26",3151,5636,NA
"1041","Sierra Leone","2015-05-26",8608,3811,3542
"1042","Italy","2015-05-26",1,0,NA
"1043","United Kingdom","2015-05-26",1,0,NA
"1044","Mali","2015-05-26",7,0,NA
"1045","Nigeria","2015-05-26",19,0,7
"1046","Senegal","2015-05-26",1,0,0
"1047","Spain","2015-05-26",1,0,0
"1048","United States of America","2015-05-26",4,0,1
"1049","Guinea","2015-05-25",3208,13,1999
"1050","Liberia","2015-05-25",3151,5636,NA
"1051","Sierra Leone","2015-05-25",8608,3801,3542
"1052","Italy","2015-05-25",1,0,NA
"1053","United Kingdom","2015-05-25",1,0,NA
"1054","Mali","2015-05-25",7,0,NA
"1055","Nigeria","2015-05-25",19,0,7
"1056","Senegal","2015-05-25",1,0,0
"1057","Spain","2015-05-25",1,0,0
"1058","United States of America","2015-05-25",4,0,1
"1059","Guinea","2015-05-27",3210,12,2001
"1060","Liberia","2015-05-27",3151,5636,NA
"1061","Sierra Leone","2015-05-27",8608,3811,3542
"1062","Italy","2015-05-27",1,0,NA
"1063","United Kingdom","2015-05-27",1,0,NA
"1064","Mali","2015-05-27",7,0,NA
"1065","Nigeria","2015-05-27",19,0,7
"1066","Senegal","2015-05-27",1,0,0
"1067","Spain","2015-05-27",1,0,0
"1068","United States of America","2015-05-27",4,0,1
"1069","Guinea","2015-05-28",3214,6,2004
"1070","Liberia","2015-05-28",3151,5636,NA
"1071","Sierra Leone","2015-05-28",8611,3837,3545
"1072","Italy","2015-05-28",1,0,NA
"1073","United Kingdom","2015-05-28",1,0,NA
"1074","Mali","2015-05-28",7,0,NA
"1075","Nigeria","2015-05-28",19,0,7
"1076","Senegal","2015-05-28",1,0,0
"1077","Spain","2015-05-28",1,0,0
"1078","United States of America","2015-05-28",4,0,1
"1079","Guinea","2015-05-29",3216,9,2006
"1080","Liberia","2015-05-29",3151,5636,NA
"1081","Sierra Leone","2015-05-29",8614,3844,3545
"1082","Italy","2015-05-29",1,0,NA
"1083","United Kingdom","2015-05-29",1,0,NA
"1084","Mali","2015-05-29",7,0,NA
"1085","Nigeria","2015-05-29",19,0,7
"1086","Senegal","2015-05-29",1,0,0
"1087","Spain","2015-05-29",1,0,0
"1088","United States of America","2015-05-29",4,0,1
"1089","Guinea","2015-06-01",3220,14,2009
"1090","Liberia","2015-06-01",3151,5636,NA
"1091","Sierra Leone","2015-06-01",8618,3911,3545
"1092","Italy","2015-06-01",1,0,NA
"1093","United Kingdom","2015-06-01",1,0,NA
"1094","Mali","2015-06-01",7,0,NA
"1095","Nigeria","2015-06-01",19,0,7
"1096","Senegal","2015-06-01",1,0,0
"1097","Spain","2015-06-01",1,0,0
"1098","United States of America","2015-06-01",4,0,1
"1099","Italy","2015-06-02",1,0,NA
"1100","Guinea","2015-06-02",3223,10,2010
"1101","Liberia","2015-06-02",3151,5636,NA
"1102","Sierra Leone","2015-06-02",8620,3920,3546
"1103","United Kingdom","2015-06-02",1,0,NA
"1104","Mali","2015-06-02",7,0,NA
"1105","Nigeria","2015-06-02",19,0,7
"1106","Senegal","2015-06-02",1,0,0
"1107","Spain","2015-06-02",1,0,0
"1108","United States of America","2015-06-02",4,0,1
"1109","Guinea","2015-06-03",3223,10,2010
"1110","Liberia","2015-06-03",3151,5636,NA
"1111","Sierra Leone","2015-06-03",8620,3920,3546
"1112","Italy","2015-06-03",1,0,NA
"1113","United Kingdom","2015-06-03",1,0,NA
"1114","Mali","2015-06-03",7,0,NA
"1115","Nigeria","2015-06-03",19,0,7
"1116","Senegal","2015-06-03",1,0,0
"1117","Spain","2015-06-03",1,0,0
"1118","United States of America","2015-06-03",4,0,1
"1119","Guinea","2015-06-04",3227,11,2012
"1120","Liberia","2015-06-04",3151,5636,NA
"1121","Sierra Leone","2015-06-04",8623,3940,3546
"1122","Italy","2015-06-04",1,0,NA
"1123","United Kingdom","2015-06-04",1,0,NA
"1124","Mali","2015-06-04",7,0,NA
"1125","Nigeria","2015-06-04",19,0,7
"1126","Senegal","2015-06-04",1,0,0
"1127","Spain","2015-06-04",1,0,0
"1128","United States of America","2015-06-04",4,0,1
"1129","Italy","2015-06-05",1,0,NA
"1130","Guinea","2015-06-05",3228,17,2012
"1131","Liberia","2015-06-05",3151,5636,NA
"1132","Sierra Leone","2015-06-05",8624,3948,3546
"1133","United Kingdom","2015-06-05",1,0,NA
"1134","Mali","2015-06-05",7,0,NA
"1135","Nigeria","2015-06-05",19,0,7
"1136","Senegal","2015-06-05",1,0,0
"1137","Spain","2015-06-05",1,0,0
"1138","United States of America","2015-06-05",4,0,1
"1139","Guinea","2015-06-08",3237,13,2016
"1140","Liberia","2015-06-08",3151,5636,NA
"1141","Sierra Leone","2015-06-08",8630,3967,3547
"1142","Italy","2015-06-08",1,0,NA
"1143","United Kingdom","2015-06-08",1,0,NA
"1144","Mali","2015-06-08",7,0,NA
"1145","Nigeria","2015-06-08",19,0,7
"1146","Senegal","2015-06-08",1,0,0
"1147","Spain","2015-06-08",1,0,0
"1148","United States of America","2015-06-08",4,0,1
"1149","Guinea","2015-06-09",3239,12,2018
"1150","Liberia","2015-06-09",3151,5636,NA
"1151","Sierra Leone","2015-06-09",8635,3979,3549
"1152","Italy","2015-06-09",1,0,NA
"1153","United Kingdom","2015-06-09",1,0,NA
"1154","Mali","2015-06-09",7,0,NA
"1155","Nigeria","2015-06-09",19,0,7
"1156","Senegal","2015-06-09",1,0,0
"1157","Spain","2015-06-09",1,0,0
"1158","United States of America","2015-06-09",4,0,1
"1159","Liberia","2015-06-10",3151,5636,NA
"1160","Sierra Leone","2015-06-10",8635,3979,3549
"1161","Italy","2015-06-10",1,0,NA
"1162","Guinea","2015-06-10",3239,12,2018
"1163","United Kingdom","2015-06-10",1,0,NA
"1164","Mali","2015-06-10",7,0,NA
"1165","Nigeria","2015-06-10",19,0,7
"1166","Senegal","2015-06-10",1,0,0
"1167","Spain","2015-06-10",1,0,0
"1168","United States of America","2015-06-10",4,0,1
"1169","Guinea","2015-06-11",3243,12,2021
"1170","Liberia","2015-06-11",3151,5636,NA
"1171","Sierra Leone","2015-06-11",8638,3986,3551
"1172","Italy","2015-06-11",1,0,NA
"1173","United Kingdom","2015-06-11",1,0,NA
"1174","Mali","2015-06-11",7,0,NA
"1175","Nigeria","2015-06-11",19,0,7
"1176","Senegal","2015-06-11",1,0,0
"1177","Spain","2015-06-11",1,0,0
"1178","United States of America","2015-06-11",4,0,1
"1179","Guinea","2015-06-12",3243,15,2021
"1180","Liberia","2015-06-12",3151,5636,NA
"1181","Sierra Leone","2015-06-12",8647,3998,3551
"1182","Italy","2015-06-12",1,0,NA
"1183","United Kingdom","2015-06-12",1,0,NA
"1184","Mali","2015-06-12",7,0,NA
"1185","Nigeria","2015-06-12",19,0,7
"1186","Senegal","2015-06-12",1,0,0
"1187","Spain","2015-06-12",1,0,0
"1188","United States of America","2015-06-12",4,0,1
"1189","Guinea","2015-06-15",3249,9,2024
"1190","Liberia","2015-06-15",3151,5636,NA
"1191","Sierra Leone","2015-06-15",8649,4026,3553
"1192","Italy","2015-06-15",1,0,NA
"1193","United Kingdom","2015-06-15",1,0,NA
"1194","Mali","2015-06-15",7,0,NA
"1195","Nigeria","2015-06-15",19,0,7
"1196","Senegal","2015-06-15",1,0,0
"1197","Spain","2015-06-15",1,0,0
"1198","United States of America","2015-06-15",4,0,1
"1199","Italy","2015-06-16",1,0,NA
"1200","Guinea","2015-06-16",3249,10,2025
"1201","Liberia","2015-06-16",3151,5636,NA
"1202","Sierra Leone","2015-06-16",8649,4029,3553
"1203","United Kingdom","2015-06-16",1,0,NA
"1204","Mali","2015-06-16",7,0,NA
"1205","Nigeria","2015-06-16",19,0,7
"1206","Senegal","2015-06-16",1,0,0
"1207","Spain","2015-06-16",1,0,0
"1208","United States of America","2015-06-16",4,0,1
"1209","Italy","2015-06-17",1,0,NA
"1210","Guinea","2015-06-17",3245,10,2025
"1211","Liberia","2015-06-17",3151,5636,NA
"1212","Sierra Leone","2015-06-17",8649,4029,3553
"1213","United Kingdom","2015-06-17",1,0,NA
"1214","Mali","2015-06-17",7,0,NA
"1215","Nigeria","2015-06-17",19,0,7
"1216","Senegal","2015-06-17",1,0,0
"1217","Spain","2015-06-17",1,0,0
"1218","United States of America","2015-06-17",4,0,1
"1219","Guinea","2015-06-18",3246,10,2026
"1220","Liberia","2015-06-18",3151,5636,NA
"1221","Sierra Leone","2015-06-18",8651,4052,3556
"1222","Italy","2015-06-18",1,0,NA
"1223","United Kingdom","2015-06-18",1,0,NA
"1224","Mali","2015-06-18",7,0,NA
"1225","Nigeria","2015-06-18",19,0,7
"1226","Senegal","2015-06-18",1,0,0
"1227","Spain","2015-06-18",1,0,0
"1228","United States of America","2015-06-18",4,0,1
"1229","Italy","2015-06-19",1,0,NA
"1230","Guinea","2015-06-19",3247,8,2027
